Date,open,high,low,close,volume,dividends,stock splits
1983-07-27,16.65625,16.6875,15.84375,15.96875,432000.0,0.0,0.0
1983-07-28,15.90625,15.9375,14.78125,14.84375,357200.0,0.0,0.0
1983-07-29,14.59375,14.875,14.53125,14.875,572400.0,0.0,0.0
1983-08-01,14.75,15.21875,14.75,15.0,740000.0,0.0,0.0
1983-08-02,15.0,15.125,14.65625,14.65625,240000.0,0.0,0.0
1983-08-03,14.6875,14.78125,14.375,14.5,613200.0,0.0,0.0
1983-08-04,14.5625,14.5625,13.9375,14.1875,332400.0,0.0,0.0
1983-08-05,14.25,14.40625,14.0,14.1875,398000.0,0.0,0.0
1983-08-08,14.09375,14.09375,13.875,14.0,229600.0,0.0,0.0
1983-08-09,13.875,13.9375,13.03125,13.375,1116400.0,0.0,0.0
1983-08-10,13.375,13.625,13.15625,13.40625,683200.0,0.0,0.0
1983-08-11,13.53125,14.0625,13.53125,14.0,605600.0,0.0,0.0
1983-08-12,14.09375,14.34375,14.09375,14.1875,264800.0,0.0,0.0
1983-08-15,14.25,14.53125,14.25,14.28125,402000.0,0.0,0.0
1983-08-16,14.34375,14.34375,13.3125,13.46875,1088400.0,0.0,0.0
1983-08-17,13.5,13.59375,13.28125,13.53125,333200.0,0.0,0.0
1983-08-18,13.5625,13.625,13.3125,13.3125,190800.0,0.0,0.0
1983-08-19,13.3125,13.6875,13.0,13.6875,409600.0,0.0,0.0
1983-08-22,13.9375,14.09375,12.84375,12.96875,598000.0,0.0,0.0
1983-08-23,13.125,13.9375,13.125,13.75,342200.0,0.0,2.0
1983-08-24,13.875,14.4375,13.3125,13.5,580400.0,0.0,0.0
1983-08-25,13.625,14.0,13.3125,13.6875,332200.0,0.0,0.0
1983-08-26,13.875,14.8125,13.75,14.625,475400.0,0.0,0.0
1983-08-29,14.375,15.375,14.125,15.375,617800.0,0.0,0.0
1983-08-30,15.375,15.625,15.0625,15.3125,558600.0,0.0,0.0
1983-08-31,15.25,15.875,15.125,15.875,608800.0,0.0,0.0
1983-09-01,16.0,16.0,15.25,15.4375,453600.0,0.0,0.0
1983-09-02,15.4375,16.0,15.4375,16.0,442200.0,0.0,0.0
1983-09-06,16.5,16.9375,16.25,16.4375,876400.0,0.0,0.0
1983-09-07,16.4375,16.5,15.8125,16.0,587600.0,0.0,0.0
1983-09-08,16.0,16.375,15.625,16.0,555200.0,0.0,0.0
1983-09-09,16.0625,16.0625,15.0,15.1875,607800.0,0.0,0.0
1983-09-12,15.875,15.875,14.5625,14.625,669600.0,0.0,0.0
1983-09-13,14.5,14.75,14.0,14.6875,940600.0,0.0,0.0
1983-09-14,14.4375,14.6875,14.25,14.375,495400.0,0.0,0.0
1983-09-15,14.375,15.125,14.0,14.875,684800.0,0.0,0.0
1983-09-16,14.8125,15.5625,14.8125,15.25,389800.0,0.0,0.0
1983-09-19,15.4375,16.1875,15.3125,16.0,412200.0,0.0,0.0
1983-09-20,16.0,16.375,15.6875,15.75,465200.0,0.0,0.0
1983-09-21,15.75,15.875,15.625,15.75,466000.0,0.0,0.0
1983-09-22,15.8125,16.25,15.75,16.125,1002600.0,0.0,0.0
1983-09-23,16.0625,16.0625,14.8125,15.375,743600.0,0.0,0.0
1983-09-26,15.5625,15.5625,14.625,15.0,939600.0,0.0,0.0
1983-09-27,14.9375,15.3125,14.875,15.0625,846800.0,0.0,0.0
1983-09-28,15.0625,15.9375,15.0625,15.875,651600.0,0.0,0.0
1983-09-29,16.125,16.375,15.3125,15.3125,638200.0,0.0,0.0
1983-09-30,15.5,15.5625,14.5,14.5,540600.0,0.0,0.0
1983-10-03,14.625,15.0,14.5625,15.0,454000.0,0.0,0.0
1983-10-04,15.1875,15.5,14.75,15.4375,801000.0,0.0,0.0
1983-10-05,15.375,15.5625,15.375,15.5625,873000.0,0.0,0.0
1983-10-06,15.6875,16.125,15.625,16.0625,620400.0,0.0,0.0
1983-10-07,16.3125,16.3125,16.3125,16.3125,1584000.0,0.0,0.0
1983-10-10,16.125,16.8125,16.0625,16.8125,819400.0,0.0,0.0
1983-10-11,16.3125,16.625,15.8125,15.8125,748000.0,0.0,0.0
1983-10-12,15.8125,16.1875,15.5,15.625,394000.0,0.0,0.0
1983-10-13,15.6875,15.875,15.5,15.8125,397400.0,0.0,0.0
1983-10-14,15.875,16.0,15.6875,16.0,208800.0,0.0,0.0
1983-10-17,16.25,16.5625,16.0,16.4375,548800.0,0.0,0.0
1983-10-18,16.3125,16.5,15.0,15.0625,523000.0,0.0,0.0
1983-10-19,14.0,15.125,14.0,15.0625,2044000.0,0.0,0.0
1983-10-20,15.25,15.4375,15.125,15.1875,568800.0,0.0,0.0
1983-10-21,15.3125,15.3125,14.5,14.75,401600.0,0.0,0.0
1983-10-24,14.5625,15.75,14.4375,15.625,786400.0,0.0,0.0
1983-10-25,15.75,16.25,15.4375,15.625,604200.0,0.0,0.0
1983-10-26,15.8125,15.9375,15.25,15.25,270200.0,0.0,0.0
1983-10-27,15.125,15.375,15.0625,15.3125,321600.0,0.0,0.0
1983-10-28,15.625,16.25,15.375,15.5,816600.0,0.0,0.0
1983-10-31,15.6875,15.6875,14.875,15.0,493600.0,0.0,0.0
1983-11-01,14.875,15.0,14.5,14.8125,680600.0,0.0,0.0
1983-11-02,15.0,15.375,15.0,15.125,429400.0,0.0,0.0
1983-11-03,15.0,15.125,14.5625,14.6875,356800.0,0.0,0.0
1983-11-04,14.625,14.8125,14.5625,14.625,239800.0,0.0,0.0
1983-11-07,14.5625,14.5625,13.8125,13.8125,846200.0,0.0,0.0
1983-11-08,13.625,13.8125,13.375,13.375,715800.0,0.0,0.0
1983-11-09,13.5625,14.8125,13.5625,14.75,616600.0,0.0,0.0
1983-11-10,15.25,15.5,15.0625,15.375,822200.0,0.0,0.0
1983-11-11,15.375,16.125,15.3125,16.125,771200.0,0.0,0.0
1983-11-14,16.25,16.375,15.75,15.75,528400.0,0.0,0.0
1983-11-15,16.0,16.25,15.6875,15.8125,708000.0,0.0,0.0
1983-11-16,16.0,16.0,15.6875,15.875,276200.0,0.0,0.0
1983-11-17,16.375,16.375,16.375,16.375,722600.0,0.0,0.0
1983-11-18,16.375,16.8125,16.125,16.75,512000.0,0.0,0.0
1983-11-21,16.8125,17.125,16.625,17.0625,580600.0,0.0,0.0
1983-11-22,17.25,17.25,16.4375,16.5,407200.0,0.0,0.0
1983-11-23,16.4375,16.4375,16.0,16.3125,292800.0,0.0,0.0
1983-11-25,16.25,16.875,16.25,16.6875,142800.0,0.0,0.0
1983-11-28,16.6875,16.8125,16.5625,16.6875,113800.0,0.0,0.0
1983-11-29,16.6875,17.75,16.625,17.6875,846400.0,0.0,0.0
1983-11-30,17.6875,17.6875,16.75,17.0,545800.0,0.0,0.0
1983-12-01,16.9375,17.1875,16.6875,16.8125,505400.0,0.0,0.0
1983-12-02,16.75,16.875,16.4375,16.875,1618400.0,0.0,0.0
1983-12-05,16.8125,16.8125,16.4375,16.6875,248600.0,0.0,0.0
1983-12-06,16.625,16.8125,16.3125,16.8125,257200.0,0.0,0.0
1983-12-07,16.625,17.25,16.5,17.1875,423800.0,0.0,0.0
1983-12-08,17.125,17.375,16.5,16.5625,555600.0,0.0,0.0
1983-12-09,16.5625,16.75,16.125,16.375,1296000.0,0.0,0.0
1983-12-12,16.375,16.625,16.25,16.625,425200.0,0.0,0.0
1983-12-13,16.75,17.0,16.5,16.5,635600.0,0.0,0.0
1983-12-14,16.625,16.6875,16.0,16.125,569200.0,0.0,0.0
1983-12-15,16.125,16.3125,16.0,16.1875,553400.0,0.0,0.0
1983-12-16,16.0,16.1875,15.8125,16.0,717400.0,0.0,0.0
1983-12-19,16.1875,16.4375,16.0,16.0625,225000.0,0.0,0.0
1983-12-20,16.1875,16.375,16.125,16.3125,216400.0,0.0,0.0
1983-12-21,16.5,16.625,15.75,15.9375,610400.0,0.0,0.0
1983-12-22,15.9375,16.5,15.875,16.125,487000.0,0.0,0.0
1983-12-23,16.0625,16.25,16.0625,16.1875,206400.0,0.0,0.0
1983-12-27,16.25,16.5625,16.25,16.5625,142400.0,0.0,0.0
1983-12-28,16.5625,16.5625,16.25,16.375,112000.0,0.0,0.0
1983-12-29,16.625,17.125,16.375,16.8125,712600.0,0.0,0.0
1983-12-30,16.9375,17.125,16.8125,16.8125,246600.0,0.0,0.0
1984-01-03,16.8125,17.125,16.75,16.875,341400.0,0.0,0.0
1984-01-04,16.875,17.5625,16.8125,17.5625,649600.0,0.0,0.0
1984-01-05,17.8125,18.125,17.5,17.75,1697000.0,0.0,0.0
1984-01-06,17.75,18.4375,17.625,18.0,922000.0,0.0,0.0
1984-01-09,18.5,18.75,18.1875,18.375,1091000.0,0.0,0.0
1984-01-10,18.4375,18.5,17.8125,17.9375,765400.0,0.0,0.0
1984-01-11,17.875,18.0,17.5,17.8125,531400.0,0.0,0.0
1984-01-12,17.8125,18.625,17.6875,18.375,1699400.0,0.0,0.0
1984-01-13,18.75,18.75,18.0,18.0,1534800.0,0.0,0.0
1984-01-16,18.0625,18.5625,17.875,18.0,349800.0,0.0,0.0
1984-01-17,17.8125,18.375,17.8125,18.375,317200.0,0.0,0.0
1984-01-18,18.375,18.375,17.875,17.875,552200.0,0.0,0.0
1984-01-19,17.9375,18.125,17.875,18.125,500000.0,0.0,0.0
1984-01-20,18.125,18.125,17.5625,17.625,479200.0,0.0,0.0
1984-01-23,17.5,17.5,17.125,17.1875,714000.0,0.0,0.0
1984-01-24,17.125,17.5625,17.125,17.3125,408200.0,0.0,0.0
1984-01-25,17.3125,17.5,16.5,16.625,437600.0,0.0,0.0
1984-01-26,16.5,16.75,15.25,15.625,1930000.0,0.0,0.0
1984-01-27,15.375,15.375,14.5,15.0625,1074200.0,0.0,0.0
1984-01-30,15.125,15.125,14.0,14.5,1648600.0,0.0,0.0
1984-01-31,14.625,14.6875,14.125,14.375,1048000.0,0.0,0.0
