symbol,current_price,current_market_cap,company_name,sector,exchange
DRI,211.5,24600359817.0,"Darden Restaurants, Inc.",Consumer Cyclical,NYSE
DTE,144.94,30101575759.0,DTE Energy Company,Utilities,NYSE
DUK,128.2,99696168917.0,Duke Energy Corporation,Utilities,NYSE
DVA,148.95,9957158550.0,DaVita Inc.,Healthcare,NYSE
DVN,44.66,28015216616.0,Devon Energy Corporation,Energy,NYSE
DXCM,70.02,27308937195.0,"DexCom, Inc.",Healthcare,NASDAQ
EA,200.62,50205899902.0,Electronic Arts Inc.,Technology,NASDAQ
EBAY,82.38,37235760000.0,eBay Inc.,Consumer Cyclical,NASDAQ
ECL,299.17,84852064026.0,Ecolab Inc.,Basic Materials,NYSE
ED,113.72,41045597342.0,"Consolidated Edison, Inc.",Utilities,NYSE
EIX,71.46,27496883022.0,Edison International,Utilities,NYSE
EL,108.24,39080301926.0,The Estée Lauder Companies Inc.,Consumer Defensive,NYSE
ELV,346.8,76540494000.0,Elevance Health Inc.,Healthcare,NYSE
EMN,80.08,9134725600.0,Eastman Chemical Company,Basic Materials,NYSE
EMR,148.13,83293806518.0,Emerson Electric Co.,Industrials,NYSE
EOG,120.73,65917784027.0,"EOG Resources, Inc.",Energy,NYSE
EQIX,956.19,93950352831.0,"Equinix, Inc.",Real Estate,NASDAQ
EQR,63.86,24297115683.0,Equity Residential,Real Estate,NYSE
EQT,58.7,36632957251.0,EQT Corporation,Energy,NYSE
ES,73.36,27523865040.0,Eversource Energy,Utilities,NYSE
ESS,251.16,16175708640.0,"Essex Property Trust, Inc.",Real Estate,NYSE
ESTC,61.57,6487815610.0,Elastic N.V.,Technology,NYSE
ETN,389.25,151184700000.0,Eaton Corporation plc,Industrials,NYSE
ETSY,45.73,4513825746.0,"Etsy, Inc.",Consumer Cyclical,NYSE
EVRG,82.69,19036407567.0,"Evergy, Inc.",Utilities,NASDAQ
EW,75.87,44543279048.0,Edwards Lifesciences Corporation,Healthcare,NYSE
EXAS,103.24,19607018691.0,Exact Sciences Corporation,Healthcare,NASDAQ
EXC,48.48,48964181977.0,Exelon Corporation,Utilities,NASDAQ
EXPD,146.5,19882763620.0,"Expeditors International of Washington, Inc.",Industrials,NYSE
EXR,146.36,31064555809.0,Extra Space Storage Inc.,Real Estate,NYSE
F,14.12,55330914400.0,Ford Motor Company,Consumer Cyclical,NYSE
FAF,67.22,6849718000.0,First American Financial Corporation,Financial Services,NYSE
FANG,169.14,48463007640.0,"Diamondback Energy, Inc.",Energy,NASDAQ
FAST,46.41,53286997136.0,Fastenal Company,Industrials,NASDAQ
FCX,62.84,90233882674.0,Freeport-McMoRan Inc.,Basic Materials,NYSE
FDS,205.79,7700648629.0,FactSet Research Systems Inc.,Financial Services,NYSE
FDX,374.72,88417229971.0,FedEx Corporation,Industrials,NYSE
FE,50.1,28941044306.0,FirstEnergy Corp.,Utilities,NYSE
FFIV,273.93,15562261884.0,"F5, Inc.",Technology,NASDAQ
FITB,52.86,34948508675.0,Fifth Third Bancorp,Financial Services,NASDAQ
FMC,14.34,1791353761.0,FMC Corporation,Basic Materials,NYSE
FNF,56.74,15395645663.0,"Fidelity National Financial, Inc.",Financial Services,NYSE
FOX,51.56,22970054607.0,Fox Corporation,Communication Services,NASDAQ
FOXA,56.35,25104006538.0,Fox Corporation,Communication Services,NASDAQ
FRT,104.8,9041724800.0,Federal Realty Investment Trust,Real Estate,NYSE
FTI,61.36,25219969617.0,TechnipFMC plc,Energy,NYSE
FTNT,85.56,65561722810.0,"Fortinet, Inc.",Technology,NASDAQ
FTV,56.9,18072122800.0,Fortive Corporation,Technology,NYSE
GD,347.64,93998295819.0,General Dynamics Corporation,Industrials,NYSE
GE,315.41,332698830751.0,GE Aerospace,Industrials,NYSE
GILD,154.98,192280586400.0,"Gilead Sciences, Inc.",Healthcare,NASDAQ
GIS,48.34,25793357796.0,"General Mills, Inc.",Consumer Defensive,NYSE
GL,144.25,11483136650.0,Globe Life Inc.,Financial Services,NYSE
GLW,133.46,114501740080.0,Corning Incorporated,Technology,NYSE
GM,81.08,75636396393.0,General Motors Company,Consumer Cyclical,NYSE
GNRC,224.45,13171638614.0,Generac Holdings Inc.,Industrials,NYSE
GOOG,306.02,3701924057206.0,Alphabet Inc.,Technology,NASDAQ
GOOGL,305.72,3698295046055.001,Alphabet Inc.,Technology,NASDAQ
GPC,147.16,20471501180.0,Genuine Parts Company,Consumer Cyclical,NYSE
GS,905.14,274004967403.0,"The Goldman Sachs Group, Inc.",Financial Services,NYSE
HAL,33.96,28581640185.0,Halliburton Company,Energy,NYSE
HBAN,17.26,27181048000.0,Huntington Bancshares Incorporated,Financial Services,NASDAQ
HCA,540.29,120820838438.0,"HCA Healthcare, Inc.",Healthcare,NYSE
HD,391.05,389294576550.0,"The Home Depot, Inc.",Consumer Cyclical,NYSE
HES,148.97,46072102062.0,Hess Corporation,Oil & Gas Exploration & Production,NYSE
HIG,141.25,39394664409.0,"The Hartford Financial Services Group, Inc.",Insurance - Diversified,NYSE
HLT,314.62,73128755073.0,Hilton Worldwide Holdings Inc.,Travel Lodging,NYSE
HOLX,75.04,16752297671.0,"Hologic, Inc.",Medical - Instruments & Supplies,NASDAQ
HON,241.38,153249074267.0,Honeywell International Inc.,Conglomerates,NASDAQ
HPE,22.69,30280556538.0,Hewlett Packard Enterprise Company,Communication Equipment,NYSE
HPQ,19.26,18002358267.0,HP Inc.,Computer Hardware,NYSE
HRL,23.78,13081544460.0,Hormel Foods Corporation,Packaged Foods,NYSE
HSIC,78.19,9481976822.0,"Henry Schein, Inc.",Medical - Distribution,NASDAQ
HST,19.89,13678134210.0,"Host Hotels & Resorts, Inc.",REIT - Hotel & Motel,NASDAQ
HSY,222.58,45135912900.0,The Hershey Company,Food Confectioners,NYSE
HUBB,524.12,27854252576.0,Hubbell Incorporated,Electrical Equipment & Parts,NYSE
HUBS,243.85,12860770925.0,"HubSpot, Inc.",Software - Application,NYSE
HUM,184.1,22142271819.0,Humana Inc.,Medical - Healthcare Plans,NYSE
HUN,13.21,2295251053.0,Huntsman Corporation,Chemicals,NYSE
HWM,250.21,100709531505.0,Howmet Aerospace Inc.,Industrial - Machinery,NYSE
IBM,262.38,245255823350.0,International Business Machines Corporation,Information Technology Services,NYSE
ICE,152.28,86826786701.0,"Intercontinental Exchange, Inc.",Financial - Data & Stock Exchanges,NYSE
IDXX,629.35,50254434536.0,"IDEXX Laboratories, Inc.",Medical - Diagnostics & Research,NASDAQ
IEX,210.41,15841198058.0,IDEX Corporation,Industrial - Machinery,NYSE
IFF,83.0,21255999457.0,International Flavors & Fragrances Inc.,Chemicals - Specialty,NYSE
ILMN,116.81,17860249000.0,"Illumina, Inc.",Medical - Diagnostics & Research,NASDAQ
INCY,101.1,20120315400.0,Incyte Corporation,Biotechnology,NASDAQ
INTC,46.79,233716050000.0,Intel Corporation,Semiconductors,NASDAQ
INTU,399.4,111192956805.0,Intuit Inc.,Software - Application,NASDAQ
INVH,26.99,16545425697.0,Invitation Homes Inc.,REIT - Residential,NYSE
IP,49.1,25926681365.0,International Paper Company,Packaging & Containers,NYSE
IPG,24.57,8927760777.0,"The Interpublic Group of Companies, Inc.",Advertising Agencies,NYSE
IQV,166.94,28429882000.0,IQVIA Holdings Inc.,Medical - Diagnostics & Research,NYSE
IR,98.52,38926274539.0,Ingersoll Rand Inc.,Industrial - Machinery,NYSE
IRM,109.83,32491558050.0,Iron Mountain Incorporated,REIT - Specialty,NYSE
ISRG,485.84,172536474344.0,"Intuitive Surgical, Inc.",Medical - Instruments & Supplies,NASDAQ
ITW,299.6,87333404494.0,Illinois Tool Works Inc.,Industrial - Machinery,NYSE
IVZ,26.52,11803863337.0,Invesco Ltd.,Asset Management,NYSE
JAZZ,166.31,10105846442.0,Jazz Pharmaceuticals plc,Biotechnology,NASDAQ
JBHT,221.76,21115619300.0,"J.B. Hunt Transport Services, Inc.",Integrated Freight & Logistics,NASDAQ
JCI,139.24,85224098523.0,Johnson Controls International plc,Construction,NYSE
JNJ,243.45,586689895969.0,Johnson & Johnson,Drug Manufacturers - General,NYSE
