date,value,cash
2017-11-28,221515.33587360455,10904.401675122193
2017-11-29,231999.09493597155,10904.401675122193
2017-11-30,232060.60049107173,10904.401675122193
2017-12-01,230416.64288162632,10904.401675122193
2017-12-04,236100.5480737314,10904.401675122193
2017-12-05,232337.50189010147,10904.401675122193
2017-12-06,227870.40317239385,10904.401675122193
2017-12-07,230402.16588149304,11520.108294074656
2017-12-08,233287.0024179163,11520.108294074656
2017-12-11,236757.42245409853,11520.108294074656
2017-12-12,235148.8734163501,11520.108294074656
2017-12-13,237531.39078682323,11520.108294074656
2017-12-14,236978.02911586975,11520.108294074656
2017-12-15,244257.11736766354,11520.108294074656
2017-12-18,250129.43129290684,11520.108294074656
2017-12-19,248264.98385519738,11520.108294074656
2017-12-20,247877.2768136487,11520.108294074656
2017-12-21,251992.83382404706,11520.108294074656
2017-12-22,250673.4238819134,11520.108294074656
2017-12-26,254490.07703344623,11520.108294074656
2017-12-27,253252.49949574954,11520.108294074656
2017-12-28,252746.39530439337,11520.108294074656
2017-12-29,246197.62019037677,11520.108294074656
2018-01-02,254016.86910459393,11520.108294074656
2018-01-03,259368.1474557861,11520.108294074656
2018-01-04,261568.2197976998,11520.108294074656
2018-01-05,261424.4185784247,11520.108294074656
2018-01-08,263499.57985609217,13174.97899280458
2018-01-09,259050.0175369746,13174.97899280458
2018-01-10,264726.4895569283,13174.97899280458
2018-01-11,265496.1151256986,13174.97899280458
2018-01-12,261809.0565471393,13174.97899280458
2018-01-16,254163.3014195582,13174.97899280458
2018-01-17,251575.10095720406,13174.97899280458
2018-01-18,250759.31491545064,13174.97899280458
2018-01-19,250568.39560633918,13174.97899280458
2018-01-22,253437.64764933888,13174.97899280458
2018-01-23,257103.20470179888,13174.97899280458
2018-01-24,255862.10269609067,13174.97899280458
2018-01-25,252534.30782793788,13174.97899280458
2018-01-26,253190.08275492344,13174.97899280458
2018-01-29,251666.47185371935,13174.97899280458
2018-01-30,247691.53181529083,13174.97899280458
2018-01-31,249498.15616342903,13174.97899280458
2018-02-01,250247.21102861944,13174.97899280458
2018-02-02,246922.8981471972,13174.97899280458
2018-02-05,238526.32722673708,13174.97899280458
2018-02-06,241738.51764300448,13174.97899280458
2018-02-07,265826.0980433961,53165.21960867921
2018-02-08,259424.67728925843,53165.21960867921
2018-02-09,257785.4530097478,53165.21960867921
2018-02-12,260894.97952867227,53165.21960867921
2018-02-13,268088.2478894178,53165.21960867921
2018-02-14,281530.8106536295,53165.21960867921
2018-02-15,287267.22826109524,53165.21960867921
2018-02-16,287271.4483959975,53165.21960867921
2018-02-20,283371.5187141398,53165.21960867921
2018-02-21,284879.5855107253,53165.21960867921
2018-02-22,278988.14279318333,53165.21960867921
2018-02-23,283275.67499064235,53165.21960867921
2018-02-26,282591.31629717903,53165.21960867921
2018-02-27,277767.0308604313,53165.21960867921
2018-02-28,279855.39476462454,53165.21960867921
2018-03-01,278002.0954868413,53165.21960867921
2018-03-02,282834.29883956676,53165.21960867921
2018-03-05,285969.6357490512,53165.21960867921
2018-03-06,287199.23796801793,53165.21960867921
2018-03-07,285595.42836982646,57119.08567396525
2018-03-08,289107.4804892068,57119.08567396525
2018-03-09,292570.4758015181,57119.08567396525
2018-03-12,293164.6103787794,57119.08567396525
2018-03-13,291227.29053110146,57119.08567396525
2018-03-14,288962.6117504089,57119.08567396525
2018-03-15,287564.3760530504,57119.08567396525
2018-03-16,293143.7458395917,57119.08567396525
2018-03-19,287971.20853451046,57119.08567396525
2018-03-20,287682.68596633465,57119.08567396525
2018-03-21,291986.02629424614,57119.08567396525
2018-03-22,283392.9774927778,57119.08567396525
2018-03-23,278615.19055194396,57119.08567396525
2018-03-26,281925.97647106735,57119.08567396525
2018-03-27,282096.1264360516,57119.08567396525
