date,value,cash,stocks_value
2021-04-29,171738.42178449733,69606.9598706857,102131.46191381162
2021-04-30,171145.05601230692,69606.9598706857,101538.09614162121
2021-05-03,171449.87850383556,69606.9598706857,101842.91863314985
2021-05-04,172518.3222581377,69606.9598706857,102911.36238745198
2021-05-05,172260.02597301858,69606.9598706857,102653.06610233287
2021-05-06,173779.3701275396,69606.9598706857,104172.41025685388
2021-05-07,173671.69233337304,17226.36844183493,156445.3238915381
2021-05-10,174410.30909797957,17226.36844183493,157183.94065614464
2021-05-11,172304.07368610275,17226.36844183493,155077.70524426783
2021-05-12,169425.21826514334,17226.36844183493,152198.8498233084
2021-05-13,172580.08331777854,17226.36844183493,155353.7148759436
2021-05-14,174695.68135203194,17226.36844183493,157469.312910197
2021-05-17,176058.2179116974,17226.36844183493,158831.84946986247
2021-05-18,175734.4278690672,17226.36844183493,158508.05942723228
2021-05-19,173198.2469536801,17226.36844183493,155971.87851184516
2021-05-20,173924.8502441125,17226.36844183493,156698.48180227756
2021-05-21,174722.3784377353,17226.36844183493,157496.00999590036
2021-05-24,175872.73869031837,17226.36844183493,158646.37024848344
2021-05-25,173402.68878418102,17226.36844183493,156176.3203423461
2021-05-26,174884.0440328083,17226.36844183493,157657.67559097338
2021-05-27,175653.53559772414,17226.36844183493,158427.1671558892
2021-05-28,176848.01702539294,17226.36844183493,159621.648583558
2021-06-01,179211.14316071276,17226.36844183493,161984.77471887783
2021-06-02,180175.19189147238,17226.36844183493,162948.82344963745
2021-06-03,179669.06825646895,17226.36844183493,162442.69981463402
2021-06-04,179871.6572102277,17226.36844183493,162645.28876839278
2021-06-07,181606.06002601155,18013.3725839033,163592.68744210823
2021-06-08,182580.67896200746,18013.3725839033,164567.30637810414
2021-06-09,181963.84084655117,18013.3725839033,163950.46826264786
2021-06-10,181376.74511029595,18013.3725839033,163363.37252639263
2021-06-11,181975.58717107063,18013.3725839033,163962.21458716734
2021-06-14,181262.54089904233,18013.3725839033,163249.16831513902
2021-06-15,181246.62989530276,18013.3725839033,163233.25731139944
2021-06-16,180658.3856711876,18013.3725839033,162645.0130872843
2021-06-17,175340.27330601693,18013.3725839033,157326.9007221136
2021-06-18,170795.73984075675,18013.3725839033,152782.36725685344
2021-06-21,175287.34581675095,18013.3725839033,157273.97323284764
2021-06-22,174108.8359496491,18013.3725839033,156095.46336574582
2021-06-23,174851.05956915434,18013.3725839033,156837.68698525103
2021-06-24,176275.70049278904,18013.3725839033,158262.32790888572
2021-06-25,178355.98302572,18013.3725839033,160342.61044181668
2021-06-28,174847.16301294934,18013.3725839033,156833.79042904603
2021-06-29,173295.0411746723,18013.3725839033,155281.668590769
2021-06-30,174145.1957269144,18013.3725839033,156131.82314301108
2021-07-01,175338.9179573179,18013.3725839033,157325.54537341458
2021-07-02,174407.3041800114,18013.3725839033,156393.9315961081
2021-07-06,172310.35750038293,18013.3725839033,154296.98491647962
2021-07-07,171532.52234550114,47940.1197268549,123592.40261864624
2021-07-08,170298.37199494414,47940.1197268549,122358.25226808924
2021-07-09,172095.91889879468,47940.1197268549,124155.79917193977
2021-07-12,171952.74108926882,47940.1197268549,124012.6213624139
2021-07-13,171449.74154884546,47940.1197268549,123509.62182199056
2021-07-14,171409.46044707496,47940.1197268549,123469.34072022006
2021-07-15,171238.40454700426,47940.1197268549,123298.28482014936
2021-07-16,170437.99386561877,47940.1197268549,122497.87413876387
2021-07-19,168729.72203857824,47940.1197268549,120789.60231172333
2021-07-20,174185.1506971984,47940.1197268549,126245.03097034349
2021-07-21,174836.76575415133,47940.1197268549,126896.64602729642
2021-07-22,174854.51215756766,47940.1197268549,126914.39243071276
2021-07-23,176059.26524437318,47940.1197268549,128119.1455175183
2021-07-26,175674.42515936162,47940.1197268549,127734.30543250672
2021-07-27,176170.588079027,47940.1197268549,128230.46835217209
2021-07-28,176222.75274202475,47940.1197268549,128282.63301516985
2021-07-29,177462.50977364858,47940.1197268549,129522.39004679368
2021-07-30,176962.47918698797,47940.1197268549,129022.35946013306
2021-08-02,177644.46101899195,47940.1197268549,129704.34129213705
2021-08-03,179946.11033845393,47940.1197268549,132005.99061159903
2021-08-04,178745.72055579233,47940.1197268549,130805.60082893743
2021-08-05,180523.7181253911,47940.1197268549,132583.5983985362
2021-08-06,180665.52046704775,47940.1197268549,132725.40074019285
2021-08-09,179824.54868419655,35849.72988179741,143974.81880239912
2021-08-10,179584.9653993668,35849.72988179741,143735.23551756938
2021-08-11,179853.07581042027,35849.72988179741,144003.34592862288
2021-08-12,178833.44551085588,35849.72988179741,142983.71562905848
2021-08-13,179204.51292714156,35849.72988179741,143354.78304534417
2021-08-16,179966.89040439122,35849.72988179741,144117.1605225938
2021-08-17,180693.23113251507,35849.72988179741,144843.50125071767
2021-08-18,179372.62265857845,35849.72988179741,143522.89277678102
2021-08-19,180134.54642679682,35849.72988179741,144284.8165449994
2021-08-20,181306.6205123589,35849.72988179741,145456.8906305615
2021-08-23,182021.02840090857,35849.72988179741,146171.29851911115
2021-08-24,181718.00682930148,35849.72988179741,145868.27694750408
2021-08-25,182394.69791695278,35849.72988179741,146544.96803515538
2021-08-26,181033.71443425852,35849.72988179741,145183.9845524611
2021-08-27,181598.60448021244,35849.72988179741,145748.87459841504
2021-08-30,182430.42478443088,35849.72988179741,146580.6949026335
2021-08-31,182108.91780727304,35849.72988179741,146259.18792547562
2021-09-01,183008.09822371643,35849.72988179741,147158.36834191903
2021-09-02,184445.93308470008,35849.72988179741,148596.2032029027
2021-09-03,184699.6550034968,35849.72988179741,148849.9251216994
2021-09-07,183370.40381082453,36556.62974291057,146813.77406791397
2021-09-08,183588.22616107293,36556.62974291057,147031.59641816237
2021-09-09,183428.18510047838,36556.62974291057,146871.55535756782
2021-09-10,182110.54291298927,36556.62974291057,145553.9131700787
2021-09-13,180826.19627455526,36556.62974291057,144269.5665316447
2021-09-14,180838.9708742896,36556.62974291057,144282.34113137904
2021-09-15,181579.39703357444,36556.62974291057,145022.76729066388
2021-09-16,182656.93708523206,36556.62974291057,146100.3073423215
2021-09-17,181800.8104097663,36556.62974291057,145244.18066685574
2021-09-20,180945.66438668114,36556.62974291057,144389.03464377057
2021-09-21,181428.74856547895,36556.62974291057,144872.1188225684
2021-09-22,183087.1979549561,36556.62974291057,146530.56821204553
2021-09-23,184279.29833164962,36556.62974291057,147722.66858873906
2021-09-24,184367.2737804117,36556.62974291057,147810.64403750113
2021-09-27,181589.62758205383,36556.62974291057,145032.99783914327
2021-09-28,178516.2638058444,36556.62974291057,141959.63406293385
2021-09-29,178614.98916257374,36556.62974291057,142058.35941966317
2021-09-30,176491.06078810862,36556.62974291057,139934.43104519806
2021-10-01,177454.27416870277,36556.62974291057,140897.6444257922
2021-10-04,174231.75215053014,60941.22452511772,113290.52762541242
2021-10-05,174541.86913269112,60941.22452511772,113600.64460757341
2021-10-06,173858.75348224354,60941.22452511772,112917.52895712582
2021-10-07,174397.4858974595,48740.823254185496,125656.662643274
2021-10-08,173382.7587599418,48740.823254185496,124641.9355057563
2021-10-11,172587.81264831126,48740.823254185496,123846.98939412576
2021-10-12,172432.57989157166,48740.823254185496,123691.75663738615
2021-10-13,173134.3732634301,48740.823254185496,124393.55000924462
2021-10-14,174705.82029953395,48740.823254185496,125964.99704534844
2021-10-15,175240.9410746112,48740.823254185496,126500.11782042572
2021-10-18,174718.0888673619,48740.823254185496,125977.26561317641
2021-10-19,176697.64442109934,48740.823254185496,127956.82116691384
2021-10-20,177782.62936108,48740.823254185496,129041.80610689451
2021-10-21,178250.76559593462,48740.823254185496,129509.94234174912
2021-10-22,179168.13510547712,48740.823254185496,130427.31185129163
2021-10-25,179286.80331228874,48740.823254185496,130545.98005810325
2021-10-26,179901.2580993086,48740.823254185496,131160.4348451231
2021-10-27,179039.5730339259,48740.823254185496,130298.74977974042
2021-10-28,182305.4917604327,48740.823254185496,133564.6685062472
2021-10-29,182024.1034981306,48740.823254185496,133283.2802439451
2021-11-01,180905.66808957938,48740.823254185496,132164.8448353939
2021-11-02,180158.6809115104,48740.823254185496,131417.8576573249
2021-11-03,182021.11038927562,48740.823254185496,133280.28713509013
2021-11-04,182737.1123640266,48740.823254185496,133996.2891098411
2021-11-05,181753.92057861816,48740.823254185496,133013.09732443266
2021-11-08,181743.07543601454,63533.240009577916,118209.83542643662
2021-11-09,181164.3790029601,63533.240009577916,117631.1389933822
2021-11-10,179783.41990473293,63533.240009577916,116250.17989515502
2021-11-11,179188.54148242547,63533.240009577916,115655.30147284754
2021-11-12,180302.68993329338,63533.240009577916,116769.44992371547
2021-11-15,181699.25862475802,63533.240009577916,118166.0186151801
2021-11-16,181735.92716084982,63533.240009577916,118202.68715127191
2021-11-17,181237.72757591016,63533.240009577916,117704.48756633226
2021-11-18,181447.36655088217,63533.240009577916,117914.12654130426
2021-11-19,181351.15100106248,63533.240009577916,117817.91099148455
2021-11-22,181339.0872488321,63533.240009577916,117805.84723925417
2021-11-23,180198.05510958552,63533.240009577916,116664.8151000076
2021-11-24,180699.55881898815,63533.240009577916,117166.31880941025
2021-11-26,177372.4696816215,63533.240009577916,113839.22967204358
2021-11-29,178524.36003660556,63533.240009577916,114991.12002702763
2021-11-30,174996.12220561,63533.240009577916,111462.8821960321
2021-12-01,174430.77563091472,83810.35493668282,90620.42069423191
2021-12-02,175358.47397542247,83810.35493668282,91548.11903873965
2021-12-03,173811.81434747626,83810.35493668282,90001.45941079344
2021-12-06,174420.0783629982,83810.35493668282,90609.7234263154
2021-12-07,176968.77563907817,49459.450464816415,127509.32517426176
2021-12-08,179289.08181304083,49459.450464816415,129829.6313482244
2021-12-09,179354.48989194268,49459.450464816415,129895.03942712626
2021-12-10,180163.57915117973,49459.450464816415,130704.12868636331
2021-12-13,179852.4288923036,49459.450464816415,130392.97842748718
2021-12-14,179011.70730052816,49459.450464816415,129552.25683571174
2021-12-15,182503.91611663526,49459.450464816415,133044.46565181884
2021-12-16,181658.45136448139,49459.450464816415,132199.00089966497
2021-12-17,180772.21060375147,49459.450464816415,131312.76013893506
2021-12-20,179229.62656584414,49459.450464816415,129770.17610102773
2021-12-21,181796.74181067396,49459.450464816415,132337.29134585755
2021-12-22,184019.8117401526,49459.450464816415,134560.36127533618
2021-12-23,185825.50971792988,49459.450464816415,136366.05925311346
2021-12-27,187546.50314117843,49459.450464816415,138087.05267636201
2021-12-28,187412.40772743564,49459.450464816415,137952.95726261922
2021-12-29,188657.47954467914,49459.450464816415,139198.02907986272
2021-12-30,188550.76395101476,49459.450464816415,139091.31348619834
2021-12-31,187752.26627440215,49459.450464816415,138292.81580958574
