date,value
2008-03-04,144291.05265085833
2008-03-05,144326.00847464803
2008-03-06,143348.59371663022
2008-03-07,143537.83533062896
2008-03-10,143636.77589417304
2008-03-11,144948.54400434624
2008-03-12,144684.7108175452
2008-03-13,145195.09236548503
2008-03-14,144708.25623399916
2008-03-17,144539.1951394374
2008-03-18,145749.95585192053
2008-03-19,144656.20512462463
2008-03-20,145191.73911736623
2008-03-24,145939.83082140132
2008-03-25,145888.229226545
2008-03-26,146315.40594012168
2008-03-27,145625.57371579937
2008-03-28,145592.9946102657
2008-03-31,145592.7610675436
2008-04-01,146679.0903685562
2008-04-02,146603.46014415348
2008-04-03,146905.21897728965
2008-04-04,146997.8875371004
2008-04-07,147164.71269060572
2008-04-08,146362.19170542056
2008-04-09,145901.2515440242
2008-04-10,146319.46917062422
2008-04-11,144197.14747392322
2008-04-14,143836.46943273314
2008-04-15,144308.5340454224
2008-04-16,145350.2459600279
2008-04-17,145406.3695460983
2008-04-18,146716.56460015988
2008-04-21,147014.13478426635
2008-04-22,146482.87974823656
2008-04-23,146867.3564336471
2008-04-24,148114.34202278487
2008-04-25,148637.22182269854
2008-04-28,148842.6283441886
2008-04-29,148907.3608866568
2008-04-30,148233.9547166199
2008-05-01,149634.42324997304
2008-05-02,149858.08157640992
2008-05-05,149752.0412714164
2008-05-06,149991.75211661536
2008-05-07,148519.23418599128
2008-05-08,149220.53941449441
2008-05-09,148572.4305240109
2008-05-12,149455.37727424596
2008-05-13,149733.3906069792
2008-05-14,149153.61135291855
2008-05-15,149706.97834214426
2008-05-16,149589.8989572067
2008-05-19,149249.4402795451
2008-05-20,149672.12950544237
2008-05-21,147766.69606682824
2008-05-22,147556.94469936335
2008-05-23,147281.53799722812
2008-05-27,148706.0238224343
2008-05-28,149065.7502400584
2008-05-29,149857.6437643332
2008-05-30,150382.8606570356
2008-06-02,149684.22212682394
2008-06-03,149056.76337001863
2008-06-04,149233.46719116415
2008-06-05,150787.69967266973
2008-06-06,148949.39248114306
2008-06-09,148517.34521425812
2008-06-10,148339.16422541105
2008-06-11,147714.7854140041
2008-06-12,146943.32058836607
2008-06-13,147811.8056339883
2008-06-16,148222.94083453875
2008-06-17,148655.8826827478
2008-06-18,147850.1598314824
2008-06-19,147464.0815899042
2008-06-20,146105.6634211167
2008-06-23,146735.71423087484
2008-06-24,146549.36269919068
2008-06-25,147332.61459839396
2008-06-26,145354.95125692047
2008-06-27,145323.26321190645
2008-06-30,145598.98665379503
2008-07-01,146636.8758720919
2008-07-02,145220.97498987045
2008-07-03,145948.42789753567
2008-07-07,146192.2396350372
2008-07-08,147308.50306725324
2008-07-09,146098.31124187974
2008-07-10,146040.07176063466
2008-07-11,145155.00624448396
