date,value
2017-12-29,121699.8521157207
2018-01-02,123295.1237664676
2018-01-03,123270.58239006787
2018-01-04,123531.74231199795
2018-01-05,124282.36366071993
2018-01-08,126119.39508710241
2018-01-09,126055.49562904814
2018-01-10,126395.69993318235
2018-01-11,127239.80658899648
2018-01-12,127688.38599171473
2018-01-16,127608.15335077421
2018-01-17,128463.90319578517
2018-01-18,128194.16623643179
2018-01-19,129337.68645913982
2018-01-22,130718.09571077711
2018-01-23,132342.35284554894
2018-01-24,131315.3841189604
2018-01-25,131281.84303305834
2018-01-26,133142.78575592957
2018-01-29,134469.96867745864
2018-01-30,134183.81620454133
2018-01-31,135526.78215209764
2018-02-01,132964.76324130333
2018-02-02,132686.56364302497
2018-02-05,128426.45109488817
2018-02-06,131292.4159214453
2018-02-07,131787.89403930522
2018-02-08,128077.56275763312
2018-02-09,129395.93528587061
2018-02-12,130559.32331367428
2018-02-13,131575.27906559274
2018-02-14,133874.9100576584
2018-02-15,135935.13576805932
2018-02-16,135259.0898132482
2018-02-20,136167.15621858492
2018-02-21,135837.57096597302
2018-02-22,135841.46897543359
2018-02-23,137230.11736909926
2018-02-26,138447.53565448875
2018-02-27,137887.74065622356
2018-02-28,137528.04451918002
2018-03-01,136046.0648121972
2018-03-02,137624.71228059527
2018-03-05,139232.0945214374
2018-03-06,141131.41356902473
2018-03-07,140768.033752607
2018-03-08,140842.02706805675
2018-03-09,142926.2045697995
2018-03-12,142711.950111476
2018-03-13,141836.1663166899
2018-03-14,142107.34092125949
2018-03-15,141953.1085792835
2018-03-16,141462.87000074107
2018-03-19,140191.7187457949
2018-03-20,141219.77907229637
2018-03-21,140455.70195881586
2018-03-22,138669.07151346977
2018-03-23,136765.37725295287
2018-03-26,140546.83602765625
2018-03-27,137286.7796850944
2018-03-28,134679.6656621625
2018-03-29,135919.03182755012
2018-04-02,133248.92899649384
2018-04-03,133853.1647656876
2018-04-04,134660.02874054437
2018-04-05,135548.38381982068
2018-04-06,134078.18898923084
2018-04-09,134278.45789163857
2018-04-10,135861.52050249238
2018-04-11,135936.32132884313
2018-04-12,137024.02625504258
2018-04-13,137164.840785739
2018-04-16,137279.27867587702
2018-04-17,140274.4250155517
2018-04-18,140193.44591093055
2018-04-19,139300.77648249702
2018-04-20,137701.28068489436
2018-04-23,137017.74937404608
2018-04-24,135249.5106398246
2018-04-25,135044.2458592181
2018-04-26,136244.6820558248
2018-04-27,136207.57979832613
2018-04-30,136080.37921865185
2018-05-01,137023.45095919177
2018-05-02,137649.104670915
2018-05-03,137700.81078353693
2018-05-04,139546.8722138131
2018-05-07,140388.6333052931
2018-05-08,140493.62722865964
2018-05-09,141590.72841548861
2018-05-10,142010.8337724383
2018-05-11,141066.9152906769
2018-05-14,141298.34210876602
2018-05-15,139655.61525483942
2018-05-16,140051.49179338367
2018-05-17,139901.59331238034
2018-05-18,139510.2834857683
2018-05-21,140126.77510364773
2018-05-22,139881.79532949915
2018-05-23,141942.51117870928
2018-05-24,142345.52738521618
2018-05-25,142790.96988061126
2018-05-29,142636.96473167557
2018-05-30,143606.9421312676
2018-05-31,143443.65752825365
2018-06-01,144884.5395719464
2018-06-04,146191.54231168632
2018-06-05,147044.83481407916
2018-06-06,147176.1037064939
2018-06-07,146248.15044572807
2018-06-08,146665.19932897636
2018-06-11,146873.59236183477
2018-06-12,147043.58099295115
2018-06-13,148700.65119358688
2018-06-14,150184.09164423397
2018-06-15,149575.48143290868
2018-06-18,149663.30536199073
2018-06-19,151731.29303077766
2018-06-20,153211.23499446784
2018-06-21,152798.17735320688
2018-06-22,151181.79408359702
2018-06-25,145796.0865856407
2018-06-26,148504.43020211317
2018-06-27,146040.16954447064
2018-06-28,147805.35146142606
2018-06-29,147099.39933104723
2018-07-02,148849.44916679867
2018-07-03,146531.3508963274
2018-07-05,147490.8011727974
2018-07-06,148775.61088840186
2018-07-09,150450.517900013
2018-07-10,150108.10285311067
2018-07-11,150377.12097440445
2018-07-12,151541.34578138863
2018-07-13,150730.23802368384
2018-07-16,151211.72852783324
2018-07-17,150659.20714899484
2018-07-18,150244.65653190872
2018-07-19,148730.6347576604
2018-07-20,148831.85460919375
2018-07-23,148873.8332551776
2018-07-24,149648.7456527208
2018-07-25,151141.51510442462
2018-07-26,143377.15796717844
2018-07-27,143024.7128923026
2018-07-30,142295.46468281499
2018-07-31,142261.351313402
2018-08-01,142639.4847803407
2018-08-02,143351.67484291136
2018-08-03,143140.08714434563
2018-08-06,143608.87473373898
2018-08-07,143809.59740097116
2018-08-08,143552.46752028493
2018-08-09,143072.70485163125
2018-08-10,142808.14506630207
2018-08-13,142959.68528904728
2018-08-14,142941.58939830487
2018-08-15,141947.2588285077
2018-08-16,142071.03663120198
2018-08-17,141163.4922758537
2018-08-20,140989.31068885888
2018-08-21,140807.55651629763
2018-08-22,140920.2878371907
2018-08-23,140973.7515356901
2018-08-24,141477.51005805342
2018-08-27,142254.93313937774
2018-08-28,142262.5962055491
2018-08-29,143255.112194869
2018-08-30,143313.1077806213
2018-08-31,143138.4350402723
2018-09-04,142727.37851330795
2018-09-05,142182.39539731445
2018-09-06,141207.77175878556
2018-09-07,140679.0426380634
2018-09-10,142342.70755901164
2018-09-11,143070.37275795994
2018-09-12,143587.8503917086
2018-09-13,143538.02741949374
2018-09-14,145337.2529601157
2018-09-17,143958.63974553888
2018-09-18,143313.28208319913
2018-09-19,142943.34695712893
2018-09-20,142484.1626884213
2018-09-21,141684.93525514932
2018-09-24,143527.4169305985
2018-09-25,144029.65742166835
2018-09-26,143325.06172492728
2018-09-27,144328.6062385654
2018-09-28,144885.16276809713
2018-10-01,146477.92494632603
2018-10-02,144750.3594576584
2018-10-03,144777.5794407598
2018-10-04,142832.11739231015
2018-10-05,140858.31446829822
2018-10-08,139585.74728327568
2018-10-09,140826.83976306184
2018-10-10,135768.8133539983
2018-10-11,135125.51557653665
2018-10-12,138380.93749208454
2018-10-15,136775.8988926741
2018-10-16,139229.06569699725
2018-10-17,140230.80774803957
2018-10-18,137738.741829762
2018-10-19,137298.30763339397
2018-10-22,137537.07761765423
2018-10-23,137640.21609081223
2018-10-24,132957.57557602244
2018-10-25,135226.0734254596
2018-10-26,134387.29869266963
2018-10-29,132989.8234432345
2018-10-30,133100.3620680849
2018-10-31,134692.41713061597
2018-11-01,134903.74840695702
2018-11-02,132976.73772512106
2018-11-05,132548.92194853388
2018-11-06,132900.91729648845
2018-11-07,134836.6586723822
2018-11-08,134970.74312154017
2018-11-09,134097.76251912315
2018-11-12,131786.1849542228
2018-11-13,132140.99786700425
2018-11-14,131825.0813439908
2018-11-15,132677.0287405806
2018-11-16,132886.50816644292
2018-11-19,131346.56066549057
2018-11-20,130348.16503839812
2018-11-21,130309.69608554954
2018-11-23,129474.66749046287
2018-11-26,131997.48286773864
2018-11-27,131999.1250143172
2018-11-28,133923.9098642986
2018-11-29,133357.9712469025
2018-11-30,134160.13032172376
2018-12-03,135682.0729556038
2018-12-04,134024.55493097633
2018-12-06,134651.5474465217
2018-12-07,132836.1171721504
2018-12-10,134026.00085231906
2018-12-11,134263.4838512701
2018-12-12,134593.5716671756
2018-12-13,135133.29233114596
2018-12-14,134067.77790324797
2018-12-17,132459.241373263
2018-12-18,132515.71160456527
2018-12-19,131157.77396436443
2018-12-20,130118.27454987439
2018-12-21,128715.84729789969
2018-12-24,128124.62003779152
2018-12-26,128124.62003779152
2018-12-27,128124.62003779152
2018-12-28,128124.62003779152
