date,value
2020-07-06,222315.73990073585
2020-07-07,223950.100508371
2020-07-08,224916.67408452337
2020-07-09,225637.65559529525
2020-07-10,226847.6472761877
2020-07-13,225284.14987469628
2020-07-14,225259.07120186865
2020-07-15,224838.32333712536
2020-07-16,224635.1293008902
2020-07-17,223401.90846794785
2020-07-20,225367.0930357422
2020-07-21,224546.32725970208
2020-07-22,224561.07404269223
2020-07-23,223053.53446157344
2020-07-24,223156.80810837663
2020-07-27,223982.32121220385
2020-07-28,223395.87297551474
2020-07-29,223574.952153161
2020-07-30,223688.19247857013
2020-07-31,224382.1135326358
2020-08-03,225193.81388112152
2020-08-04,225415.6341519616
2020-08-05,225487.83160287337
2020-08-06,226012.27724097943
2020-08-07,225068.77039763983
2020-08-10,224366.58036493522
2020-08-11,223248.4197029317
2020-08-12,224270.16524720454
2020-08-13,224398.9019079495
2020-08-14,224389.93668826926
2020-08-17,224635.76652460065
2020-08-18,225602.0195857185
2020-08-19,225060.4067239706
2020-08-20,225947.97943497775
2020-08-21,225622.55824770484
2020-08-24,225674.8798039563
2020-08-25,226097.94582513743
2020-08-26,228493.97745384133
2020-08-27,228057.6248368672
2020-08-28,228156.25640995317
2020-08-31,228320.1404987194
2020-09-01,229437.16593219564
2020-09-02,229780.592071318
2020-09-03,227261.8728597571
2020-09-04,226431.98321051683
2020-09-08,224705.33338084014
2020-09-09,225654.75216861922
2020-09-10,224254.28188469217
2020-09-11,223925.18037933658
2020-09-14,223791.48832777498
2020-09-15,224835.01064386783
2020-09-16,223867.5247082441
2020-09-17,222991.5428022707
2020-09-18,222553.31911204435
2020-09-21,222699.3599461864
2020-09-22,223030.8394827569
2020-09-23,222566.9044758689
2020-09-24,222743.51211762024
2020-09-25,223058.01125439006
2020-09-28,223168.0513441898
2020-09-29,223019.97160929086
2020-09-30,223228.5053258227
2020-10-01,223373.1889807615
2020-10-02,222947.29257498868
2020-10-05,223231.90349375084
2020-10-06,222928.27223044707
2020-10-07,225319.92859321227
2020-10-08,225235.33445450122
2020-10-09,226977.22499913862
2020-10-12,229804.76397790952
2020-10-13,229958.3250659693
2020-10-14,228961.70831048442
2020-10-15,228685.60449997432
2020-10-16,227592.08643793504
2020-10-19,225977.55403604064
2020-10-20,226144.67887272197
2020-10-21,223902.52778173436
2020-10-22,223396.4376263474
2020-10-23,223578.62185414025
2020-10-26,222677.1775894692
2020-10-27,223596.14555695272
2020-10-28,220447.59712585335
2020-10-29,222882.4395334712
2020-10-30,219186.90740535926
2020-11-02,219624.5692330588
2020-11-03,220850.6841998489
2020-11-04,224076.96364026453
2020-11-05,227147.00727731345
2020-11-06,227229.72762888655
2020-11-09,223240.95587350472
2020-11-10,222065.03814532454
2020-11-11,223820.16677502432
2020-11-12,223582.40718397594
2020-11-13,223752.70060080645
2020-11-16,224136.8217565256
2020-11-17,223486.9133251881
2020-11-18,222708.06719414552
2020-11-19,223068.45338376972
2020-11-20,222421.8196237241
2020-11-23,221445.92772632831
2020-11-24,222350.7893981443
2020-11-25,222582.594959197
2020-11-27,222932.52363597165
2020-11-30,223420.8482329785
2020-12-01,224718.4066086752
2020-12-02,224691.32275011233
2020-12-03,224487.6975457122
2020-12-04,224320.53830989986
2020-12-07,224711.98874150633
2020-12-08,225133.59662619367
2020-12-09,223818.28286130368
2020-12-10,224021.1300578831
2020-12-11,224201.66528717353
2020-12-14,224171.13119573897
2020-12-15,225794.60378089154
2020-12-16,226533.010849191
2020-12-17,226791.96150288146
2020-12-18,226123.5637690574
2020-12-21,227132.13539014422
2020-12-22,228308.19421743564
2020-12-23,227632.49000002115
2020-12-24,228157.34342493594
2020-12-28,229746.41512947608
2020-12-29,229139.87696767953
2020-12-30,228468.73304411577
2020-12-31,228301.66446117728
2021-01-04,226727.77810238977
2021-01-05,227187.17468945432
2021-01-06,225175.38087657501
2021-01-07,229321.0690025124
2021-01-08,232322.8100403893
2021-01-11,227909.39546900208
2021-01-12,229067.25494371605
2021-01-13,230787.68329086527
2021-01-14,229381.2562313025
2021-01-15,227934.71145797896
2021-01-19,229132.44703519437
2021-01-20,236447.43530165183
2021-01-21,237090.18450860854
2021-01-22,236727.79563932805
2021-01-25,238570.60790288693
2021-01-26,239089.8564222838
2021-01-27,235313.5884782343
2021-01-28,233871.10498239042
2021-01-29,230342.3171714717
2021-02-01,233274.89724674216
2021-02-02,235480.19286770507
2021-02-03,233850.9841823139
2021-02-04,235492.83032967366
2021-02-05,235371.30896986584
2021-02-08,235663.57620500118
2021-02-09,235635.2230660527
2021-02-10,233977.42223622632
2021-02-11,233762.28069100488
2021-02-12,233933.1496225011
2021-02-16,232586.37186896516
2021-02-17,231606.2138875236
2021-02-18,230643.25765666587
2021-02-19,229879.94168437264
2021-02-22,225640.92491793275
2021-02-23,226470.27583857466
2021-02-24,226840.21079458497
2021-02-25,225146.17875618266
2021-02-26,224595.61326296878
2021-03-01,225422.51242086748
2021-03-02,225224.7300666867
2021-03-03,223322.65824099217
2021-03-04,222662.68382845854
2021-03-05,223020.37481912613
2021-03-08,221368.45052570145
2021-03-09,221368.45052570145
2021-03-10,221368.45052570145
2021-03-11,221368.45052570145
2021-03-12,221368.45052570145
2021-03-15,221368.45052570145
2021-03-16,221368.45052570145
2021-03-17,221368.45052570145
2021-03-18,221368.45052570145
2021-03-19,221368.45052570145
2021-03-22,221368.45052570145
2021-03-23,221368.45052570145
2021-03-24,221368.45052570145
2021-03-25,221368.45052570145
2021-03-26,221368.45052570145
2021-03-29,221368.45052570145
2021-03-30,221368.45052570145
2021-03-31,221368.45052570145
2021-04-01,221368.45052570145
2021-04-05,221368.45052570145
2021-04-06,221368.45052570145
2021-04-07,223490.57814666326
2021-04-08,223852.94030829944
2021-04-09,224351.52002589055
2021-04-12,223485.00750287692
2021-04-13,223614.514839129
2021-04-14,222598.74791856587
2021-04-15,224244.20166764327
2021-04-16,224065.185036204
2021-04-19,223839.62319952605
2021-04-20,223614.08927819942
2021-04-21,223485.45823075395
2021-04-22,222306.706896466
2021-04-23,224045.04624011807
2021-04-26,224522.72502471262
2021-04-27,224049.93032056338
2021-04-28,226309.17199571076
2021-04-29,229631.2659133718
2021-04-30,228396.11303869745
2021-05-03,227807.58152320056
2021-05-04,226347.01009120705
2021-05-05,226163.44317462412
2021-05-06,227292.45799136593
2021-05-07,227634.79460122393
2021-05-10,224762.9344297816
2021-05-11,224075.55843077888
2021-05-12,221790.78593888687
2021-05-13,222757.8958207682
2021-05-14,225206.60576288326
2021-05-17,225374.70312609617
2021-05-18,224234.1402442481
2021-05-19,224782.69177529533
2021-05-20,226397.97607224612
2021-05-21,225842.15093259947
2021-05-24,228408.2230516651
2021-05-25,228773.7499810548
2021-05-26,229330.6149379298
2021-05-27,229165.65278267217
2021-05-28,228817.1025690473
2021-06-01,229435.2985061746
2021-06-02,229177.18511914212
2021-06-03,228334.25164776575
2021-06-04,230020.8717430034
2021-06-07,230941.54253657223
2021-06-08,230833.61322120688
2021-06-09,230744.7478552213
2021-06-10,231740.47235859153
2021-06-11,231452.25431172008
2021-06-14,232422.22206212475
2021-06-15,232054.0261438426
2021-06-16,231233.65645073654
2021-06-17,232210.66420336487
2021-06-18,230879.90931870084
2021-06-21,231840.91336097068
2021-06-22,232786.84703098243
2021-06-23,232737.4670937511
2021-06-24,233314.23003738432
2021-06-25,233062.24753438437
2021-06-28,234413.12286999958
2021-06-29,233758.42536169617
2021-06-30,233110.48279869798
2021-07-01,234143.96792765628
2021-07-02,235578.76482626365
2021-07-06,235931.2441183022
2021-07-07,237990.00370307438
2021-07-08,237562.8016585815
2021-07-09,238097.38702824176
2021-07-12,237795.63568048476
2021-07-13,238277.0441849694
2021-07-14,239679.662535378
2021-07-15,238649.76296354993
2021-07-16,237286.79534423788
2021-07-19,235163.7142962268
2021-07-20,236973.84508312788
2021-07-21,237213.5099223166
2021-07-22,239029.8315190542
2021-07-23,240370.583703912
2021-07-26,240900.0258369356
2021-07-27,238951.98584377157
2021-07-28,238381.77443739655
2021-07-29,238286.5344851787
2021-07-30,234976.14649613394
2021-08-02,234899.12175736896
2021-08-03,236250.25783678086
2021-08-04,235890.08306065074
2021-08-05,236657.62389169383
2021-08-06,236002.51248066063
2021-08-09,235767.9600808294
2021-08-10,235063.77514448663
2021-08-11,234901.02109710017
2021-08-12,236449.7667219044
2021-08-13,236900.6491483743
2021-08-16,237878.18907012235
2021-08-17,236684.909774457
2021-08-18,234630.92729952442
2021-08-19,235565.07397989975
2021-08-20,237407.18825427478
2021-08-23,238688.1302195486
2021-08-24,238787.3312087305
2021-08-25,238216.08475532942
2021-08-26,237676.31002969044
2021-08-27,238497.6792282338
2021-08-30,241373.3799744738
2021-08-31,241253.69781111804
2021-09-01,241553.63297101107
2021-09-02,241619.84326237603
2021-09-03,241993.86925581057
2021-09-07,242947.95064092957
2021-09-08,242641.44268311944
2021-09-09,241359.36553180503
2021-09-10,239332.2849229021
2021-09-13,239585.49591948529
2021-09-14,239508.37245223537
2021-09-15,240907.71913021474
2021-09-16,241039.89171532248
2021-09-17,239016.66026810586
2021-09-20,235905.79636962843
2021-09-21,236002.5531674226
2021-09-22,237795.74091586913
2021-09-23,238675.39987087788
2021-09-24,238778.70318908733
2021-09-27,237223.16552681164
2021-09-28,233374.04403828038
2021-09-29,233571.45468191392
2021-09-30,232630.64026619674
2021-10-01,234138.90761189949
2021-10-04,230989.6206734093
2021-10-05,232885.5035576853
2021-10-06,234342.4824666583
2021-10-07,237585.396650999
2021-10-08,237188.25319262975
2021-10-11,237060.9106993913
2021-10-12,237480.75631276146
2021-10-13,238635.1625916952
2021-10-14,240292.9124755451
2021-10-15,241507.31638195118
2021-10-18,244164.8250200231
2021-10-19,244052.08812171782
2021-10-20,243040.85830539447
2021-10-21,247089.61702896192
2021-10-22,248541.6177115731
2021-10-25,255309.9830307574
2021-10-26,255027.9192109753
2021-10-27,257686.5507300835
2021-10-28,260836.50487301644
2021-10-29,265139.13341665384
2021-11-01,269447.55169392616
2021-11-02,267725.22618222144
2021-11-03,270939.05005902966
2021-11-04,270806.83938644116
2021-11-05,268719.60638185614
2021-11-08,265954.6519908107
2021-11-09,258263.06035375682
2021-11-10,256850.3161565935
2021-11-11,257844.97281718903
2021-11-12,260248.4343609828
2021-11-15,259920.26351231048
2021-11-16,261004.72218951126
2021-11-17,261247.3064488392
2021-11-18,260891.7624963147
2021-11-19,260942.5376775859
2021-11-22,259072.42222294747
2021-11-23,258387.876459806
2021-11-24,258719.55932785707
2021-11-26,257997.14999690867
2021-11-29,258916.6967732734
2021-11-30,256466.86986688012
2021-12-01,254695.49128369012
2021-12-02,254515.39745193277
2021-12-03,252533.09811760357
2021-12-06,253753.29528731565
2021-12-07,255972.38962766685
2021-12-08,256155.48488390475
2021-12-09,254674.54503589513
2021-12-10,256141.58889702547
2021-12-13,255170.40182027913
